"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Meth-Sociological Inquiry","357","001","","64","3.609","64.1","15.6","7.8","6.3","4.7","1.6",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","78","3.397","42.3","21.8","19.2","9.0","6.4","1.3",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","","14","2.893","21.4","28.6","14.3","21.4",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"Law, Sexuality, & Society","406","001","","11","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421","001","","36","2.958","33.3","16.7","19.4","8.3","8.3","8.3","5.6",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Jewish Thought","423","001","","10","3.200","20.0","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","425","001","","7","2.833","14.3","28.6",".",".","42.9",".",".","14.3",".",".",".",".",".",".",".","."
"","425","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Crime, Gender and Justice","","Course Total","","10","3.000","20.0","30.0",".","10.0","30.0",".",".","10.0",".",".",".",".",".",".",".","."
"Criminology","441","001","","91","3.648","58.2","19.8","16.5","4.4","1.1",".",".",".",".",".",".",".",".",".",".","."
"Juvenile Delinquency","446","001","","36","3.111","38.9","11.1","19.4","5.6","19.4","5.6",".",".",".",".",".",".",".",".",".","."
"","475","001","","17","2.906","11.8","41.2","5.9","11.8","17.6",".","5.9",".",".",".",".",".","5.9",".",".","."
"","475","003","","26","3.420","38.5","23.1","23.1","3.8","7.7",".",".","3.8",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","43","3.220","27.9","30.2","16.3","7.0","11.6",".","2.3","2.3",".",".",".",".","2.3",".",".","."
"Contemporary Soc Theory","476","001","","13","3.500","46.2","30.8","7.7",".",".","7.7",".","7.7",".",".",".",".",".",".",".","."
"","496","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","004","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","041","","7","3.667","28.6","57.1",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"","496","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","24","3.773","62.5","16.7","12.5",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Public Hlth-Rural & Urban Comm","533","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","18","3.735","55.6","27.8","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Political Sociology","624","001","","19","3.289","52.6","15.8",".","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652","001","","10","3.500","10.0","70.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Senior Honors Thesis","681","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Intro Prosmr-Grad Students","700","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Research Methods-Sociology","750","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Methods-Social Rsch","751","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 353 of 481",""
