"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"932
STAT","Dept. Total","4312","3.243","40.1","15.8","20.7","9.2","9.1","2.8","0.4","1.5","",".","0.0","",".","0.1","0.1","0.0",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","3.063","23.2","14.3","30.4","17.9","10.7","1.8",".",".","",".",".","",".",".","1.8",".",".","."
"Sophomore","","643","3.102","28.6","18.4","24.1","13.8","10.7","3.6","0.8",".","",".",".","",".",".",".",".",".","."
"Junior","","1418","3.118","35.5","12.7","23.0","12.1","12.8","3.6","0.3",".","",".",".","",".",".",".","0.1",".","."
"Senior","","1557","3.283","43.9","16.0","20.0","7.8","8.4","3.0","0.4","0.3","",".","0.1","",".","0.1","0.1",".",".","."
"Undergraduates","","3674","3.182","37.6","15.1","22.0","10.7","10.5","3.3","0.4","0.1","",".","0.0","",".","0.0","0.1","0.0",".","."
"Special","","110","3.723","69.1","19.1","8.2","1.8","0.9",".",".","0.9","",".",".","",".",".",".",".",".","."
"Graduate","","525","3.628","51.0","20.4","14.3","0.6","0.8","0.2","0.8","11.2","",".",".","",".","0.6","0.2",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4312","3.243","40.1","15.8","20.7","9.2","9.1","2.8","0.4","1.5","",".","0.0","",".","0.1","0.1","0.0",".","."
