"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"Art/Sci of Human Flourishing","120
001","50","3.550","56.0","24.0","12.0","2.0","2.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"How to Think with Statistics","215
001","20","3.650","80.0","5.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","301
001","113","3.805","70.8","22.1","5.3","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"","301
002","110","3.927","93.6","3.6","1.8",".",".",".","0.9",".",".",".",".",".",".",".",".","."
"","301
003","114","3.860","89.5","5.3","1.8",".","1.8","0.9","0.9",".",".",".",".",".",".",".",".","."
"How People Learn","Course Total","337","3.864","84.6","10.4","3.0","0.3","0.9","0.3","0.6",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","320
001","147","3.917","91.2","3.4","2.7","0.7",".",".","0.7",".",".",".",".",".","1.4",".",".","."
"Human Develop-Adolescence","321
001","89","3.618","58.4","22.5","13.5","2.2","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"Mind, Brain and Education","326
001","88","3.575","54.5","23.9","10.2","5.7","3.4",".","1.1","1.1",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","96","3.885","82.3","12.5","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
025","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
077","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","29","3.979","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thinking and Learning","501
001","32","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","506
003","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","506
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
005","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
011","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","56","3.864","87.5","7.1",".","1.8",".",".","1.8",".",".",".",".",".",".",".","1.8","."
"Thinking, Feeling, & Learning","533
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behavior Analysis in Classrms","541
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biological Basis of Behavior","542
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant&Qual Research Methods","560
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Instructional Design for LA","575
001","11","3.778","63.6","9.1",".","9.1",".",".",".",".",".",".",".",".","18.2",".",".","."
"Conversations & Visualizations","615
001","11","3.750","63.6","9.1","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","621
001","61","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adol Dev in Educ Contexts","Course Total","90","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Instruct Coaching","640
001","31","3.917","80.6","16.1",".",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"","699
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych I","709
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
