"URBAN AND REGIONAL PLANNI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"Introduction to the City
305","001","","42","3.750","73.8","11.9","7.1","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"306","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"306","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro to Survey Research
373","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Marketplaces, Entrepreneurship
411","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"420","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Urban Spatial Patterns&Thry
505","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gentrification & Urb Restruct
512","002","","24","3.604","54.2","33.3","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Landscape & Urban Stds Capstne
595","001","","22","3.800","72.7","9.1",".","9.1",".",".",".",".",".",".",".",".","9.1",".",".","."
"Directed Study
699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Systems & Marketplaces
711","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis
721","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Planning Orientation Seminar
742","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Energy Analysis & Policy
809","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Policy-Making Process
874","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Planning Workshop
912","001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Participatn-Plan&Pol Makng
917","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","5","***","","","","","","","","","","","","","","","",""
