"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"790","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"890","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","061","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","58","",".",".",".",".",".",".",".","89.7",".",".",".","8.6","1.7",".",".","."
"Env Chem & Tech Grad Seminar
909","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engr & Fluid Mech
919","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","001","","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Envir Engineering","Course Total","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
