"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Women & Society-Global","102","001","232","3.848","85.8","9.9","0.9","0.4","0.9",".","1.7","0.4",".",".",".",".",".",".",".","."
"","103","001","394","3.850","84.8","8.6","3.8","1.0","0.5","0.8","0.5",".",".",".",".",".",".",".",".","."
"","103","002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","415","3.858","85.5","8.2","3.6","1.0","0.5","0.7","0.5",".",".",".",".",".",".",".",".","."
"Women's Writing","144","001","60","3.958","93.3","5.0","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160","001","11","3.500","63.6","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","160","003","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Gender, Sexuality & Ed Policy","","Course Total","26","3.635","80.8","11.5",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","57","3.193","26.3","29.8","21.1","12.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","267","001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","001","25","3.120","44.0","16.0","8.0","8.0","16.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","320","002","21","3.690","76.2","14.3","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Topics-Gender, Women & Society","","Course Total","46","3.380","58.7","15.2","6.5","4.3","8.7","2.2","4.3",".",".",".",".",".",".",".",".","."
"Gend/Class/Race/Ethn-SocSci","331","001","27","3.833","92.6","3.7",".",".",".",".","3.7",".",".",".",".",".",".",".",".","."
"FemSocMovts Across Americas","334","001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transgender Studies","342","001","19","3.939","84.2","10.5",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Queer Bodies","343","001","39","3.859","84.6","7.7","2.6","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","350","002","22","3.190","45.5","27.3","9.1",".",".",".","13.6","4.5",".",".",".",".",".",".",".","."
"Women & Gender in US to 1870","353","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Race, Sex, and Texts","401","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law, Sexuality, & Society","406","001","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Queer Art & Visual Culture","412","001","37","3.635","64.9","27.0",".","2.7",".","2.7","2.7",".",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425","001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425","002","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","","Course Total","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexual Politics in Scandinavia","438","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Past-Postfeminisms for 21st C","444","001","39","3.654","76.9","12.8",".","5.1",".",".","5.1",".",".",".",".",".",".",".",".","."
"Topics in Feminist Theory","449","001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environment of the Womb","527","001","40","3.987","95.0","2.5",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"Sexuality and Science","528","001","37","3.541","51.4","24.3","8.1","13.5","2.7",".",".",".",".",".",".",".",".",".",".","."
"","533","001","38","3.892","81.6","10.5","5.3",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","533","002","36","3.871","77.8","13.9","5.6",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Topics: Gender & Biology","","Course Total","74","3.882","79.7","12.2","5.4",".",".",".",".",".",".",".",".",".","2.7",".",".","."
