"MUSIC-PERFORMANCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","",""
"","101
001","","10","3.667","60.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".","10.0",".",".","."
"","101
002","","11","3.545","72.7","9.1",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","101
003","","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","101
004","","12","3.625","83.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Beginning Class Piano","Course Total","","40","3.577","75.0","7.5","2.5","5.0",".","2.5","5.0",".",".",".",".",".","2.5",".",".","."
"Beginning Class Piano","102
001","","11","3.636","54.5","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","103
001","","6","3.400","50.0",".",".","33.3",".",".",".",".",".",".",".",".","16.7",".",".","."
"","103
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
003","","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Class Piano","Course Total","","28","3.796","78.6","3.6","7.1","7.1",".",".",".",".",".",".",".",".","3.6",".",".","."
"Jazz Class Piano","108
101","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Performance: Voice","143
001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","144
101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","144
102","","6","3.938","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","144
104","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","144
105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Vocal Instr: Non-Voice Majors","Course Total","","17","3.979","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","146
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","146
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","146
032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","146
058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","146
066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","146
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","146
089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Lessons for Non Majors","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intermed Piano-Non-Majors","200
101","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elem/Intmed Piano","Course Total","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","205
018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","205
062","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","205
064","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Voice","Course Total","","23","3.932","82.6","13.0",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Elem/Intmed Flute","207
010","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Elem/Intmed Oboe","209
059","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Brass Fundamentals","21
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem/Intmed Clarinet","211
019","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Element/Intermed Saxophone","213
049","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
