"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"","300
001","19","",".",".",".",".",".",".",".",".",".","94.7","5.3",".",".",".",".","."
"","300
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Probability for Actuaries","Course Total","35","",".",".",".",".",".",".",".",".",".","97.1","2.9",".",".",".",".","."
"","303
001","76","3.270","30.3","30.3","21.1","10.5","2.6","5.3",".",".",".",".",".",".",".",".",".","."
"","303
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Interest","Course Total","78","3.266","29.5","29.5","21.8","10.3","2.6","5.1",".",".",".",".",".",".","1.3",".",".","."
"Actuarial Statistics for Risk","640
001","21","3.619","52.4","19.0","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund Long-Term Actuarial Model","650
001","57","3.167","40.4","17.5","12.3","12.3","8.8","8.8",".",".",".",".",".",".",".",".",".","."
"Fund Short-Term Actuarial Modl","652
001","22","3.409","36.4","22.7","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Short-Term Actuarial Model","653
001","33","3.303","42.4","15.2","24.2","9.1","3.0","6.1",".",".",".",".",".",".",".",".",".","."
"Health Analytics","655
001","27","3.556","40.7","37.0","18.5",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"242
ACT SCI","Dept. Total","273","3.333","33.0","20.9","17.9","7.7","3.3","4.0",".",".",".","12.5","0.4",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","39","3.266","15.4","33.3","20.5","10.3",".","2.6",".",".",".","17.9",".",".",".",".",".","."
"Junior","","75","3.307","33.3","13.3","12.0","5.3","4.0","5.3",".",".",".","26.7",".",".",".",".",".","."
"Senior","","135","3.398","39.3","22.2","19.3","5.9","3.7","3.7",".",".",".","5.2","0.7",".",".",".",".","."
"Undergraduates","","252","3.351","33.3","21.4","17.5","6.7","3.2","4.0",".",".",".","13.5","0.4",".",".",".",".","."
"Special","","20","3.147","30.0","15.0","20.0","20.0","5.0","5.0",".",".",".",".",".",".","5.0",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","273","3.333","33.0","20.9","17.9","7.7","3.3","4.0",".",".",".","12.5","0.4",".","0.4",".",".","."
