"DESIGN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"","101
001","","13","3.917","84.6",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","101
002","","16","3.625","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Textile Design","Course Total","","29","3.750","62.1","20.7","13.8",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Design: Fundamentals I","120
001","","124","3.806","80.6","12.9","4.0",".",".","0.8","1.6",".",".",".",".",".",".",".",".","."
"Sewn Construction I","153
001","","42","3.821","78.6","11.9","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","","15","3.667","73.3","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","210
002","","16","3.800","68.8","12.5","12.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Fashion Illustration","Course Total","","31","3.733","71.0","12.9","9.7",".",".","3.2",".",".",".",".",".",".","3.2",".",".","."
"Patternmaking for Accessories","215
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221
001","","112","3.643","63.4","12.5","17.9","3.6","1.8","0.9",".",".",".",".",".",".",".",".",".","."
"Interior Design I","222
001","","32","3.844","71.9","25.0","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Architect Design","223
001","","31","3.952","90.3","9.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Materials and Finishes","224
001","","32","3.625","53.1","18.8","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving I","229
001","","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","240
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","240
002","","11","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Human-centered Design/Business","Course Total","","14","3.500","50.0","21.4","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","241
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","241
002","","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Visual Communication I","Course Total","","33","3.939","97.0",".",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"","252
001","","70","3.700","71.4","11.4","10.0","2.9","2.9","1.4",".",".",".",".",".",".",".",".",".","."
"","252
002","","24","3.250","58.3","4.2","16.7","4.2","4.2","8.3","4.2",".",".",".",".",".",".",".",".","."
"Design Leadership Symposium","Course Total","","94","3.585","68.1","9.6","11.7","3.2","3.2","3.2","1.1",".",".",".",".",".",".",".",".","."
"","253
001","","15","3.857","73.3","13.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","253
002","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Patternmaking-Apparel Design","Course Total","","32","3.933","84.4","6.3","3.1",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Cloth to Clothing","319
001","","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Design Programming","321
001","","35","3.971","94.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn-Manual/Comptr Gen Imagery","327
001","","14","3.643","64.3","14.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","341
001","","30","3.583","60.0","13.3","13.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"","341
002","","31","3.742","64.5","29.0",".","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Design Thinking","Course Total","","61","3.664","62.3","21.3","6.6","6.6","3.3",".",".",".",".",".",".",".",".",".",".","."
"Hist of Arch. & Interiors I","421
001","","36","3.903","94.4","2.8",".",".",".","2.8",".",".",".",".",".",".",".",".",".","."
"History of Textiles","430
001","","39","3.943","82.1","5.1","2.6",".",".",".",".","5.1",".",".",".",".","5.1",".",".","."
"Color Theory and Technology","451
001","","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
002","","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","501
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
004","","12","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Special Topics","Course Total","","30","3.879","83.3","10.0",".",".","3.3",".",".",".",".",".",".",".","3.3",".",".","."
