"LINGUISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","","236","3.337","47.5","18.6","11.9","8.1","8.1","2.5","2.1","1.3",".",".",".",".",".",".",".","."
"Topics in Sociolinguistics","213
001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language in Wisconsin","237
001","","24","3.750","87.5",".","8.3",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Grammatcl Variablty-Languag","309
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Phonology","310
001","","36","3.583","52.8","25.0","16.7","2.8",".","2.8",".",".",".",".",".",".",".",".",".","."
"Morphology","322
001","","20","3.350","45.0","25.0","10.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Syntax","330
001","","16","3.094","31.3","6.3","31.3","25.0",".","6.3",".",".",".",".",".",".",".",".",".","."
"","351
002","","18","3.694","77.8","11.1",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","351
004","","22","3.727","77.3","9.1","9.1",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"American Sign Language 1","Course Total","","40","3.713","77.5","10.0","5.0","2.5",".","5.0",".",".",".",".",".",".",".",".",".","."
"","353
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","353
002","","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","353
003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Sign Language 3","Course Total","","54","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","373
001","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Advanced Morphology","522
001","","14","3.357","42.9","14.3","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","681
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar-Sr Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Capstone in Linguistics","690
001","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Methods&Materials","800
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","977
100","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
