"ENGLISH AS A SECOND LANGU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"115
001","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"115
003","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Grammar for Academic Use","25","",".",".",".",".",".",".",".",".",".","92.0","8.0",".",".",".",".","."
"116
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
002","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
004","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"116
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
006","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
007","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Acad Reading and Vocab Skills","92","",".",".",".",".",".",".",".",".",".","98.9","1.1",".",".",".",".","."
"117
001","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
002","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"117
003","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
004","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"117
005","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"117
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
007","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"117
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
009","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
011","14","",".",".",".",".",".",".",".",".",".","78.6","21.4",".",".",".",".","."
"117
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Writing I","188","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"118
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
003","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
004","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
005","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
006","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
007","14","3.750","71.4","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
008","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
009","13","3.727","61.5","15.4",".",".","7.7",".",".",".",".",".",".",".","7.7","7.7",".","."
"118
010","13","3.750","46.2","46.2",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"118
021","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Academic Writing II","147","3.844","75.5","15.6","6.1",".","0.7",".",".",".",".",".",".",".","1.4","0.7",".","."
"Academic Speaking Skills
200
001","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"343
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"343
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Oral Communication Skills","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Acad Present. and Discussion
344
003","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"345
001","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"345
004","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
