"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"103","001","","143","3.307","30.8","27.3","18.9","7.0","5.6","1.4","1.4","7.7",".",".",".",".",".",".",".","."
"103","002","","161","3.421","39.8","25.5","18.0","5.6","2.5","1.9","1.2","5.6",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","304","3.368","35.5","26.3","18.4","6.3","3.9","1.6","1.3","6.6",".",".",".",".",".",".",".","."
"Exploration of Solar System
104","001","","148","3.770","81.1","8.1","4.7","2.7","1.4","0.7","1.4",".",".",".",".",".",".",".",".","."
"Topics in Astronomy
150","001","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"199","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"199","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Physical Universe
200","001","","55","3.809","74.5","20.0","3.6",".",".","1.8",".",".",".",".",".",".",".",".",".","."
"236","001","","35","3.629","57.1","17.1","22.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"236","002","","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Matter in Universe","Course Total","","61","3.762","70.5","14.8","13.1",".","1.6",".",".",".",".",".",".",".",".",".",".","."
"Stellar Astrophysics
310","001","","26","3.154","26.9","23.1","26.9","7.7","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"The Interstellar Medium
320","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cosmology
335","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Observational Astronomy
465","001","","28","3.804","85.7",".","7.1","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Smr-Astrophysical Topics
620","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis
681","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Astrophysics I
700","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Galaxies
730","001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Astrophysics
910","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 200 of 481",""
