"EDUCATIONAL PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"","711
010","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
012","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
013","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","","50","3.989","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Development","720
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cog Assess-Children in Schools","Course Total","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","","21","3.925","85.7","4.8","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","","33","3.891","78.8","15.2","3.0",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regression Models in Education","763
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human-Computer Interaction","770
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Test Construction","771
001","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MSPE Capstone","791
001","","18","",".",".",".",".",".",".",".","77.8",".",".",".",".","22.2",".",".","."
"Intro to Learning Sciences I","795
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Beg Practicum in School Psych","828
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Practicum School Psych","829
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","830
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","830
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Practicum School Psych","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv. Practicum School Psych","840
006","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prevention Science","880
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","943
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","943
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res and Meas in School Psych","948
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quasi-Experimental Designs","963
001","","11","3.778","54.5","18.2","9.1",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Applied Bayesian Statistics","965
001","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","990
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 103 of 481",""
