"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Child and Adol Psych Elective","Course Total","10","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Psych Forensic Hosp Setting","947
042","1","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"814
PSYCHIAT","Dept. Total","102","3.985","38.2","1.0","",".",".","",".","",".","",".","36.3","",".",".","",".","",".","",".",".","24.5","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".","40.0","."
"Senior","","6","4.000","83.3",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","16.7","."
"Undergraduates","","11","3.917","63.6","9.1","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","27.3","."
"Special","","54","4.000","59.3",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","40.7","."
"Prof Yr 4","","37","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","37","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","102","3.985","38.2","1.0","",".",".","",".","",".","",".","36.3","",".",".","",".","",".","",".",".","24.5","."
