"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","28","3.957","92.9",".","7.1","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","50","3.788","82.0","10.0","6.0","",".","2.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","81","3.849","86.4","6.2","6.2","",".","1.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".","50.0","."
"Graduate","112","3.924","69.6","10.7",".","",".",".","",".","",".","18.8","",".",".","",".","",".","",".",".","0.9","."
"Prof Yr 3","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
