"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Air Pollution&Human Health
502","001","","48","3.406","22.9","47.9","22.9",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth
551","001","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
650","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth
651","001","","16","3.656","50.0","37.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Translat'l & Outcomes Research
709","002","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrating Med and PH
712","002","","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conspiracies in Public Health
721","001","","59","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Climate Change Medicine
728","009","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Cancer Epidemiology
750","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PopHealth Determ and Disprties
752","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"797","005","","27","3.611","40.7","40.7","18.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"797","006","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","Course Total","","43","3.686","48.8","39.5","11.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv. Epi: Causal Inference
805","001","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epi and Global One Health
810","001","","19","3.895","94.7",".",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar
820","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grant Writing for PopHlthSci
830","001","","9","3.938","77.8","11.1",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Cardiovascular Epi
847","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","17","",".",".",".",".",".",".",".","52.9",".",".",".","41.2",".",".","5.9","."
