"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"734","001","","39","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"734","002","","22","3.905","77.3","18.2",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Intro to Archive&Record Mngmnt","Course Total","","61","3.958","90.2","8.2",".",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"751","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"751","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"751","003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Dsgn-Info Prof","Course Total","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"855","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"855","004","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"855","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Info Agency Managemt","Course Total","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Info Procsng&Retrvl
875","001","","21","3.875","81.0","4.8","9.5",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"PWR Seminar
925","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Smr-Info Organization & Access
975","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","13","3.971","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
