"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","371","3.051","22.4","21.8","24.8","14.8","11.3","4.3","0.3",".",".",".",".",".","0.3",".",".","."
"","102
001","40","3.125","17.5","20.0","45.0","5.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
002","38","3.434","42.1","15.8","31.6","7.9","2.6",".",".",".",".",".",".",".",".",".",".","."
"","102
003","37","3.216","27.0","18.9","35.1","8.1","10.8",".",".",".",".",".",".",".",".",".",".","."
"","102
004","38","3.368","39.5","15.8","28.9","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","153","3.284","31.4","17.6","35.3","7.8","7.8",".",".",".",".",".",".",".",".",".",".","."
"","150
001","25","3.920","96.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","150
003","25","3.680","64.0","16.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Microbiomes First-Year Sem","Course Total","50","3.800","80.0","8.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
098","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
101","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms","303
001","265","3.170","30.9","20.8","28.7","2.6","10.9","4.9","0.8",".",".",".",".",".",".",".","0.4","."
"","304
001","39","3.308","38.5","17.9","30.8","2.6","7.7",".","2.6",".",".",".",".",".",".",".",".","."
"","304
002","38","3.118","21.1","10.5","57.9","2.6","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"","304
003","40","3.375","30.0","27.5","35.0","2.5","5.0",".",".",".",".",".",".",".",".",".",".","."
"","304
004","39","3.218","28.2","20.5","33.3","7.7","7.7","2.6",".",".",".",".",".",".",".",".",".","."
"Biology of Microorganisms Lab","Course Total","156","3.256","29.5","19.2","39.1","3.8","6.4","0.6","1.3",".",".",".",".",".",".",".",".","."
"","305
001","19","3.789","94.7",".",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","305
002","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","40","3.888","95.0","2.5",".",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"","324
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","324
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Food Microbiology Laboratory","Course Total","6","3.417","50.0","16.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Food Microbiology","325
001","27","2.981","37.0","7.4","14.8","11.1","22.2","7.4",".",".",".",".",".",".",".",".",".","."
"","375
001","9","3.389","33.3","22.2","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","17","3.967","82.4","5.9",".",".",".",".",".","5.9",".",".",".",".",".","5.9",".","."
"Special Topics","Course Total","26","3.595","65.4","11.5","11.5","3.8",".",".",".","3.8",".",".",".",".",".","3.8",".","."
"Micro Genetics & Mol Machines","470
001","60","3.342","21.7","40.0","25.0","11.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","526
001","47","3.255","42.6","10.6","25.5","10.6","4.3","6.4",".",".",".",".",".",".",".",".",".","."
"Adv Lab Techniques - Microbio","527
001","58","3.544","53.4","19.0","15.5","1.7","8.6",".",".",".",".",".",".",".","1.7",".",".","."
"Prokaryotic Molecular Biol","612
001","24","3.521","33.3","37.5","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cellular Metabolomics","626
001","31","3.871","77.4","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 8 of 481"
