"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","54","3.406","37.0","25.9","22.2","9.3","1.9","1.9",".",".",".",".",".",".",".",".","1.9","."
"","100
002","51","3.294","27.5","31.4","21.6","11.8","7.8",".",".",".",".",".",".",".",".",".",".","."
"General Anthropology","Course Total","105","3.351","32.4","28.6","21.9","10.5","4.8","1.0",".",".",".",".",".",".",".",".","1.0","."
"","102
001","128","2.980","14.1","25.0","25.8","18.0","7.8","4.7","0.8","3.9",".",".",".",".",".",".",".","."
"","102
002","11","2.909","9.1","36.4","9.1","18.2","27.3",".",".",".",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","Course Total","139","2.974","13.7","25.9","24.5","18.0","9.4","4.3","0.7","3.6",".",".",".",".",".",".",".","."
"","104
001","401","3.916","90.0","5.5","3.0","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"","104
002","379","3.888","88.4","7.7","1.1","1.1","1.1","0.5","0.3",".",".",".",".",".",".",".",".","."
"","104
003","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
009","16","3.688","68.8","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","104
012","21","3.667","76.2","9.5","4.8",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","104
017","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
026","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
031","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
042","18","3.750","83.3","5.6","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","919","3.892","88.4","6.7","2.6","0.9","0.9","0.4","0.1",".",".",".",".",".",".",".",".","."
"","105
001","177","3.463","44.6","30.5","9.0","6.2","5.1","2.3","0.6","1.1",".",".",".",".","0.6",".",".","."
"","105
002","205","3.529","47.8","29.3","11.2","6.8","3.4",".","1.0","0.5",".",".",".",".",".",".",".","."
"","105
003","19","3.737","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
011","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
018","18","3.833","88.9",".","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Principles - Biological Anthro","Course Total","438","3.538","49.5","28.8","9.6","5.7","3.9","0.9","0.7","0.7",".",".",".",".","0.2",".",".","."
"Principles of Archaeology","212
001","61","3.440","55.7","6.6","18.0","4.9","6.6","1.6","1.6","4.9",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","34","3.824","79.4","8.8","8.8","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303
001","11","2.909","27.3",".","54.5",".",".","18.2",".",".",".",".",".",".",".",".",".","."
"","310
001","15","3.769","66.7","13.3",".",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"","310
002","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","Course Total","33","3.758","69.7","9.1","12.1",".","3.0",".",".","6.1",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321
001","26","3.019","34.6","15.4","19.2","11.5","11.5",".","7.7",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","330
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Arch of Warfare & Hum Nature","339
001","68","3.833","72.1","13.2",".","1.5",".",".","1.5","11.8",".",".",".",".",".",".",".","."
"Medical Anthropology","365
001","30","3.845","66.7","30.0",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Intro to Museum Studies-Anthro","405
001","15","3.600","66.7",".","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","11","3.591","63.6","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"American Indian Women","437
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Symbolic Anthropology","456
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","490
001","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
