"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"OCC THER","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","17","3.853","88.2","5.9",".",".","5.9","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","26","3.923","92.3","3.8",".","3.8",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","15","3.867","80.0","13.3","6.7",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","59","3.890","88.1","6.8","1.7","1.7","1.7","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","500","3.872","86.4","10.4","2.4","0.4","0.2","",".","",".","",".","",".",".","",".","",".","0.2",".",".","."
"","Dept. Total","560","3.873","86.6","10.0","2.3","0.5","0.4","",".","",".","",".","",".",".","",".","",".","0.2",".",".","."
