"ALS","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNITY & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
864
C&E SOC","190","3.675","67.4","13.2","13.2","3.7","1.1","0.5","",".","0.5","",".",".","",".","",".","0.5",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","10","3.419","40.0","20.0","30.0","10.0",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","33","3.676","69.7","9.1","12.1","6.1","3.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","55","3.530","49.1","27.3","14.5","7.3",".","1.8","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","80","3.808","80.0","6.3","11.3",".","1.3",".","",".",".","",".",".","",".","",".","1.3",".",".","."
"Undergraduates","178","3.668","66.3","14.0","13.5","3.9","1.1","0.6","",".",".","",".",".","",".","",".","0.6",".",".","."
"Graduate","12","3.857","83.3",".","8.3",".",".",".","",".","8.3","",".",".","",".","",".",".",".",".","."
"Dept. Total","190","3.675","67.4","13.2","13.2","3.7","1.1","0.5","",".","0.5","",".",".","",".","",".","0.5",".",".","."
