"INTERDIS COURSES (C A L S)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","",""
"Issues in Ag, Envir & Life Sci
155","001","","101","3.851","90.1","3.0","3.0","1.0","1.0","1.0","1.0",".",".",".",".",".",".",".",".","."
"WISE Seminar
175","001","","108","3.921","89.8","7.4","0.9","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Study Abroad Pre-Departure Sem
321","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Development for Interns
340","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","",".",".",".",".",".",".",".",".",".",".",".","85.7",".",".","14.3","."
"Senior Honors Thesis
682","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"494
INTER-AG","Dept. Total","","225","3.893","87.6","4.9","1.8","0.9","0.9","0.4","0.4",".",".",".",".","2.7",".",".","0.4","."
