"AMN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDI","Section","#","Ave","A","AB","B","","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","11","4.000","100.0",".","",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","101
002","14","3.821","85.7","7.1","",".",".","","7.1","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Heritage and Values I","Course Total","25","3.900","92.0","4.0","",".","",".","4.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","201
001","12","4.000","100.0",".","",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","201
002","3","***","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Team, Leadrshp Fundamentals I","Course Total","15","4.000","100.0",".","",".","",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Leadng People, Effectve Comm I","301
001","19","4.000","100.0",".","",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"National Security Affairs","401
001","19","4.000","100.0",".","",".",".","",".","",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Leadership Laboratory I","501
001","71","",".",".","",".",".","",".","",".","",".","100.0",".","",".",".","",".","","",".",".",".","."
"102
A F AERO","Dept. Total","149","3.984","51.0","0.7","",".","",".","0.7","",".","",".","47.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.950","47.4","5.3","",".","",".",".","",".","",".","47.4","",".",".","",".","",".","",".",".",".","."
"Sophomore","","30","3.875","50.0",".","",".","",".","3.3","",".","",".","46.7","",".",".","",".","",".","",".",".",".","."
"Junior","","27","4.000","55.6",".","",".","",".",".","",".","",".","44.4","",".",".","",".","",".","",".",".",".","."
"Senior","","60","4.000","50.0",".","",".","",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","136","3.982","50.7","0.7","",".","",".","0.7","",".","",".","47.8","",".",".","",".","",".","",".",".",".","."
"Special","","11","4.000","54.5",".","",".","",".",".","",".","",".","45.5","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","149","3.984","51.0","0.7","",".","",".","0.7","",".","",".","47.7","",".",".","",".","",".","",".",".",".","."
