"TERM : 1262","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2025-2026","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"ITALIAN (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
508
ITALIAN","251","3.845","76.1","12.4","4.4","1.6","",".","0.4","",".","3.6","0.4",".","",".","",".","",".",".","1.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","30","3.817","76.7","13.3","6.7","3.3","",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"Sophomore","50","3.890","82.0","14.0","4.0",".","",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","57","3.772","73.7","14.0","5.3","3.5","",".","1.8","",".","1.8",".",".","",".","",".","",".",".",".","."
"Senior","56","3.789","69.6","21.4","7.1","1.8","",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","193","3.816","75.1","16.1","5.7","2.1","",".","0.5","",".","0.5",".",".","",".","",".","",".",".",".","."
"Special","6","4.000","50.0",".",".",".","",".",".","",".",".",".",".","",".","",".","",".",".","50.0","."
"Graduate","52","4.000","82.7",".",".",".","",".",".","",".","15.4","1.9",".","",".","",".","",".",".",".","."
"Dept. Total","251","3.845","76.1","12.4","4.4","1.6","",".","0.4","",".","3.6","0.4",".","",".","",".","",".",".","1.2","."
