"GENERAL BUSINESS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","",""
"","106
001","","753","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"","106
002","","55","",".",".",".",".",".",".",".",".",".","96.4",".",".",".","3.6",".","."
"","106
003","","399","",".",".",".",".",".",".",".",".",".","99.2","0.8",".",".",".",".","."
"","106
100","","48","",".",".",".",".",".",".",".",".",".","95.8","4.2",".",".",".",".","."
"Skills for Business Analysis","Course Total","","1255","",".",".",".",".",".",".",".",".",".","99.0","0.8",".",".","0.2",".","."
"","110
001","","23","3.870","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
002","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
004","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
006","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
007","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
008","","29","3.845","93.1","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".",".","."
"","110
009","","30","3.867","86.7","6.7","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","110
010","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
011","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
012","","30","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
015","","27","3.796","74.1","18.5",".","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","110
016","","23","3.870","87.0","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","110
017","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
018","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
019","","23","3.848","82.6","4.3","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
020","","23","3.913","95.7",".",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","110
021","","30","3.900","90.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","110
022","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
023","","27","3.870","85.2","7.4","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","110
024","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
025","","10","3.350","70.0",".","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","110
027","","21","3.762","81.0","4.8","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","110
028","","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
029","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
030","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
032","","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
033","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
034","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
035","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
036","","30","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
037","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
039","","26","3.885","88.5","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","110
040","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
041","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
042","","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 46 of 481"
