"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Mech Engr Projects I","Course Total","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","508
001","23","3.391","30.4","21.7","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","508
003","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composite Materials","Course Total","33","3.485","39.4","21.2","36.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","512
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","512
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","Course Total","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design &Apply Smart Manuf Proc","529
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
002","7","3.667","57.1",".","28.6",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"","532
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","15","3.429","33.3","13.3","46.7",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Data Driven Engineering Design","536
001","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539
001","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Analysis","540
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Product Design","549
001","35","3.857","74.3","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Thermodynamics","561
001","26","3.769","73.1","7.7","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fluid Dynamics","563
001","17","3.735","70.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Power Plant Technology","565
001","26","3.385","19.2","42.3","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567
001","19","3.263","26.3","36.8","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Computational Fluid Dynamics","573
001","16","3.469","50.0","6.3","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Marine Robotics","578
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
076","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
077","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
078","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
081","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
083","14","3.750","78.6","7.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
085","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
086","20","3.400","25.0","55.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","601
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","101","3.780","74.3","17.8","4.0","3.0",".","1.0",".",".",".",".",".",".",".",".",".","."
"Topics-Biomechanics","605
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tissue Mechanics","615
001","9","3.556","66.7","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
116","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program","702
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Comp Ctrl of Mach & Procss","733
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
