"","990
274","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
279","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
283","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Reading and Research","Course Total","66","",".",".",".",".",".",".",".","89.4","",".",".","",".","10.6",".",".",".","."
"600
MATH","Dept. Total","10489","2.999","32.8","12.4","23.6","7.5","14.3","5.5","2.6","0.7","",".","0.3","",".","0.1","0.2","0.0","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2890","3.009","30.1","14.4","24.3","8.9","14.3","5.4","2.5",".","",".",".","",".",".","0.1","0.0",".","."
"Sophomore","","3547","2.936","29.5","12.8","25.6","6.5","16.1","6.6","2.8","0.0","",".",".","",".",".","0.1",".",".","."
"Junior","","2068","2.903","28.1","11.4","26.1","8.9","16.5","5.6","2.9",".","",".","0.3","",".",".","0.2","0.0",".","."
"Senior","","1171","2.981","35.1","10.8","21.2","8.2","13.2","5.4","3.6","0.1","",".","1.5","",".","0.4","0.5","0.1","0.1","."
"Undergraduates","","9676","2.957","30.1","12.7","24.8","7.9","15.3","5.9","2.8","0.0","",".","0.2","",".","0.1","0.2","0.0","0.0","."
"Special","","176","3.601","67.6","6.8","11.9","5.7","2.8","1.7","1.1","1.7","",".",".","",".",".",".",".",".","0.6"
"Graduate","","637","3.713","63.9","8.3","9.4","1.9","2.4","0.3","0.3","10.0","",".","1.6","",".","1.3","0.5",".","0.2","."
"","Dept. Total","10489","2.999","32.8","12.4","23.6","7.5","14.3","5.5","2.6","0.7","",".","0.3","",".","0.1","0.2","0.0","0.0","0.0"
