"CHEMICAL & BIOLOGICAL ENG","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","99","3.742","63.6","27.3","7.1",".","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","70","3.150","22.9","27.1","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","48","2.833","25.0","20.8","20.8","8.3","8.3","10.4","6.3",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","46","3.011","26.1","10.9","28.3","17.4","10.9","2.2","2.2",".",".",".",".",".","2.2",".",".","."
"Thermodynamics of Mixtures","311","001","","49","3.010","24.5","10.2","36.7","12.2","10.2","6.1",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","75","3.067","28.0","12.0","32.0","9.3","16.0","1.3","1.3",".",".",".",".",".",".",".",".","."
"","324","001","","10","3.400","40.0","30.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","12","3.292","33.3","8.3","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","14","3.321","21.4","28.6","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","36","3.333","30.6","22.2","36.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","31","2.935","29.0","16.1","12.9","9.7","25.8","6.5",".",".",".",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","53","2.925","26.4","7.5","32.1","3.8","24.5","5.7",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","62","2.903","21.0","16.1","22.6","16.1","17.7","6.5",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","18","3.333","50.0","11.1","11.1","11.1","16.7",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","32","3.266","25.0","34.4","21.9","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","40","3.125","27.5","25.0","27.5",".","15.0","2.5","2.5",".",".",".",".",".",".",".",".","."
"Fuels, Chemicals from Biomass","538","001","","17","3.441","47.1","5.9","41.2",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","51","3.333","25.5","33.3","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","8","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Eng and the Community","554","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","16","3.469","18.8","62.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","562","003","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","005","","29","3.208","3.4","17.2","13.8","6.9",".",".",".","55.2","3.4",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","46","3.683","26.1","21.7","10.9","4.3",".",".",".","34.8","2.2",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","599","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","024","","9","3.870","66.7","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","599","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","032","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 123 of 481",""
