"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management","300","001","201","3.274","33.8","13.4","34.8","10.4","7.0","0.5",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Captive Insurance","635","001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","47","3.404","42.6","27.7","14.9","6.4","6.4",".","2.1",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","59","3.508","33.9","33.9","32.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","40","3.613","42.5","37.5","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","655","001","15","3.433","26.7","46.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","655","002","22","3.545","50.0","13.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","","Course Total","37","3.500","40.5","27.0","24.3","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
