"TERM : 1262","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2025-2026","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MEDICAL SCIENCES - MED SCH Section","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","Dept. Total
1144","","",".","",".","",".","",".","",".","",".","",".","95.5","0.7","2.8","0.1","0.1","0.2",".",".","0.6"
"Summary by Level","","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","1","***","","","","","","","","","","","","","","","","","100.0",".",".",".",".",".","."
