"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"Sales Strategy and Management","424
001","22","3.205","45.5","22.7","9.1",".","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","425
001","41","3.512","36.6","48.8","4.9","4.9","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","425
002","19","3.289","31.6","31.6","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Route to Market Strategies","Course Total","60","3.442","35.0","43.3","10.0","5.0","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","428
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Strategic Pricing","430
001","12","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","27","3.537","29.6","48.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","39","3.718","51.3","41.0","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","39","3.538","17.9","71.8","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
004","17","3.412","5.9","70.6","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","122","3.578","29.5","56.6","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Brand Building","605
001","25","3.500","28.0","52.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","700
020","40","3.425","20.0","45.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
021","38","3.355","21.1","28.9","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
040","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","51","3.971","96.1","2.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
051","21","3.762","52.4","47.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","170","3.679","55.9","24.1","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","28","3.554","28.6","53.6","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Creative Marketing","715
001","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Route to Market Strategies","725
001","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Strategy","726
001","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supply Chain Capital Mgt","728
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","730
001","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"New Product Innovation","737
001","30","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Asset Management","750
001","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","14","3.679","64.3","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Marketing","840
001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Contemporary Topics","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
