"BIOSTATISTICS & MED INFORM Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"Pre-dissertator Research","Course Total","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med
915","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dissertator Research","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
