"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"621","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"621","072","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"621","078","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","079","","10","3.740","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"621","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"621","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"621","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"621","088","","8","3.842","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"621","099","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mentored Research and Seminar","Course Total","","271","3.978","96.7","1.5","1.1","0.4",".",".",".",".",".",".",".",".",".",".","0.4","."
"Issues in Prisoner Reentry
626","001","","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Neuroendo Seminar
674","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","17","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis Seminar in Psych
686","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","15","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
