"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"Statistical Methods I
601","001","","25","3.540","36.0","36.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science Computing Project
605","001","","23","3.891","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"609","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"609","002","","11","3.455","54.5",".","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I","Course Total","","14","3.464","42.9","21.4","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Inference
610","001","","24","3.292","37.5","25.0","20.8","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Statistical Models - Data Sci
611","001","","32","3.359","28.1","34.4","34.4",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Stat Methods for Data Sci
613","001","","32","3.531","37.5","50.0","9.4",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"Statistical Learning
615","002","","18","3.417","50.0","27.8","11.1",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Data Science Practicum
628","001","","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"632","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"632","002","","8","2.875","25.0","12.5","25.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","Course Total","","11","2.909","18.2","9.1","45.5","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials
641","001","","19","3.658","42.1","47.4","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"679","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"679","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Statistics","Course Total","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
681","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study
698","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","124","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","170","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","215","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","220","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","268","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","270","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics I
709","001","","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I
726","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Longitudinal Data Analysis
727","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability I
733","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Linr Randm Algos for Data Sci
772","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Statistical Methods
849","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Machine Learning
861","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Math Data Science
888","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 362 of 481",""
