"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"962","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Surgical Critical Care","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"963","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"963","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"963","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiothoracic Surgery Electiv","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Urology Elective
967","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Patient Ed. as Advocacy Strat.
974","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Multidis Appr Colon Cancer P/T
975","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"982","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"982","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Surgery Ed Teaching Elective","Course Total","","4","***","","","","","","","","","","","","","","","",""
