"EGR","","","","","","","","","","","","","","","","","","","","","",""
"BIOMEDICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","",""
"207
B M E","Dept. Total","1219","3.823","64.2","12.5","5.1","0.9","0.4","",".","",".","6.1","",".","9.8","0.1","0.8","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","32","3.844","71.9","25.0","3.1",".",".","",".","",".",".","",".",".",".",".",".",".",".","."
"Junior","","191","3.848","77.0","13.6","4.7",".","0.5","",".","",".",".","",".","4.2",".",".",".",".",".","."
"Senior","","692","3.812","70.4","14.7","6.1","1.2","0.6","",".","",".",".","",".","6.9","0.1",".",".",".",".","."
"Undergraduates","","915","3.819","71.8","14.9","5.7","0.9","0.5","",".","",".",".","",".","6.1","0.1",".",".",".",".","."
"Special","","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","","300","3.847","41.7","5.3","3.3","1.0",".","",".","",".","24.0","",".","21.3",".","3.0","0.3",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","","","",".",".","33.3",".",".",".","."
"Professionals","","3","***","","","","","","","","","","","","",".",".","33.3",".",".",".","."
"","Dept. Total","1219","3.823","64.2","12.5","5.1","0.9","0.4","",".","",".","6.1","",".","9.8","0.1","0.8","0.1",".",".","."
