"MATERIALS SCI AND ENGINEERI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Materials Experience","260","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Thermodynamics of Materials","330","001","","28","2.839","17.9","21.4","25.0","17.9",".","17.9",".",".",".",".",".",".",".",".",".","."
"Macroprocessing-Materials","332","001","","17","3.265","29.4","23.5","35.3","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"","350","001","","109","3.147","15.6","33.0","24.8","20.2","5.5","0.9",".",".",".",".",".",".",".",".",".","."
"","350","002","","112","3.103","23.2","17.9","32.1","18.8","4.5","2.7","0.9",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","","Course Total","","221","3.124","19.5","25.3","28.5","19.5","5.0","1.8","0.5",".",".",".",".",".",".",".",".","."
"Struct&Property Rels-Solids","351","001","","36","3.000","19.4","19.4","22.2","25.0","11.1","2.8",".",".",".",".",".",".",".",".",".","."
"Structures & Phases Lab","360","001","","28","3.661","46.4","42.9","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Synthesis & Characterztn Lab","362","001","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","045","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","","Course Total","","29","3.845","69.0","31.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Polymeric Materials","421","001","","25","3.021","16.0","16.0","28.0","28.0","8.0",".",".","4.0",".",".",".",".",".",".",".","."
"Nuclear Engr Materials","423","001","","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Corrosion","433","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crystallog & Xray Diffractn","448","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Ceramic Materials","451","001","","15","3.433","46.7","13.3","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Elec,Opt&Mag Prop of Materials","456","001","","38","3.662","39.5","50.0","7.9",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"Matrls-Elevated Temp Serv","463","001","","8","3.429","37.5",".","50.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Capstone Project I","470","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Solids","530","001","","15","3.133","26.7","20.0","26.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".","."
"Machine Learning in Materials","561","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program","702","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Structural Analysis-Materials","748","001","","15","3.400","40.0","20.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
