"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","465","3.920","92.3","4.3","1.7",".","0.6","0.6","0.2",".",".",".",".",".","0.2",".",".","."
"","132","002","439","3.906","90.2","6.2","1.4","1.1",".","0.5","0.5","0.2",".",".",".",".",".",".",".","."
"Nutrition Today","","Course Total","904","3.914","91.3","5.2","1.5","0.6","0.3","0.6","0.3","0.1",".",".",".",".","0.1",".",".","."
"Prof-Dietetics & Nutrition","200","001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Global Health","203","001","348","3.907","85.9","9.8","4.0","0.3",".",".",".",".",".",".",".",".",".",".",".","."
"","299","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Nutritional Needs","332","001","76","2.961","27.6","9.2","27.6","14.5","14.5","5.3","1.3",".",".",".",".",".",".",".",".","."
"","399","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Global Health Field Experience","421","003","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr Biochm & Mtblsm","510","001","25","3.440","52.0","8.0","32.0",".","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Seminar in Nutrition","600","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Nutrition I","631","001","39","3.103","12.8","20.5","46.2","15.4","5.1",".",".",".",".",".",".",".",".",".",".","."
"App Clinical Nutrition I","641","003","35","3.829","68.6","28.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mol Ctrl of Mtblsm & Mtblc Dis","645","001","7","3.429","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650","001","30","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","670","001","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","670","002","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","","Course Total","22","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","097","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","098","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Energy Metabolism","710","002","19","3.917","78.9","15.8",".",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Pers Nutr-Genomics & Genetics","711","001","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Micronutr-Human Phys & Disease","715","001","18","3.778","72.2","11.1","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Community Nutrition","725","001","28","3.946","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutritional Mgmt GI Disorders","726","002","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research in Progress Seminar","731","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","","Page 30 of 481"
