"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","",""
"","140
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Success in Engr Academics","Course Total","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design Practicum","170
001","199","3.972","95.0","4.5","0.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
006","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","102","3.868","79.4","14.7","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Leadership Cmptence in Eg","303
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","23","3.413","21.7","52.2","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","397
002","24","3.500","37.5","41.7","16.7",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"","397
003","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","23","3.435","26.1","39.1","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","397
009","17","3.676","41.2","52.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
010","27","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
011","22","3.318","22.7","36.4","22.7","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","397
014","22","3.705","72.7","13.6",".","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","397
015","20","3.325","5.0","55.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
016","21","3.405","14.3","52.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
018","22","3.750","59.1","36.4",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
021","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
022","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
023","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
024","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
025","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
026","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
027","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
028","24","3.521","50.0","33.3","8.3","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"Engineering Communication","Course Total","450","3.668","53.6","31.8","11.6","2.2","0.4","0.2","0.2",".",".",".",".",".",".",".",".","."
"Current Issues in Intl Engr","413
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Prototyping","477
001","30","4.000","96.7",".",".",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Topics-Interdis Engineering","601
002","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
