"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Clin Rehab Cnslg-Diag & Treat
830","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Group Cnslg
840","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Pract II","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Internship
910","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-Cnslg Supervision
920","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coun Ed-Supv Research
940","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Internship Postsecondary Teach
942","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internshp in Reh Couns Ed I
945","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Reh Coup Ed-Cnslg Thry&Rsrch
984","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","14","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"Independent Reading
999","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
