"L&S","","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","Dept. Total","3294","3.653","57.5","23.2","8.3","3.2","2.3","0.3","0.6","2.6","",".","0.2","",".","0.9","0.2","0.5","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","356","3.514","50.3","26.1","10.1","6.5","4.5","0.3","1.4",".","",".",".","",".",".","0.6","0.3",".","."
"Sophomore","","797","3.621","55.7","27.0","9.8","3.5","2.5","0.4","0.9",".","",".",".","",".",".","0.3",".",".","."
"Junior","","874","3.693","61.6","24.0","9.2","1.8","2.3","0.1","0.3",".","",".","0.3","",".","0.1","0.1","0.1",".","."
"Senior","","985","3.684","62.4","21.7","7.0","3.6","1.7","0.6","0.5","0.1","",".","0.4","",".","1.7","0.2",".",".","."
"Undergraduates","","3012","3.648","59.0","24.3","8.7","3.4","2.4","0.4","0.7","0.0","",".","0.2","",".","0.6","0.2","0.1",".","."
"Special","","103","3.541","21.4","9.7","6.8","1.9","1.9",".",".","36.9","",".",".","",".",".",".","12.6","8.7","."
"Graduate","","178","3.872","53.4","11.8","2.2","0.6",".",".",".","24.7","",".",".","",".","6.7","0.6",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","3294","3.653","57.5","23.2","8.3","3.2","2.3","0.3","0.6","2.6","",".","0.2","",".","0.9","0.2","0.5","0.3","."
