"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"Art Performance","511","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing I","512","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 1","514","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534","002","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Watercolor I","542","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","","8","3.750","87.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Publication Design","546","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Glassworking","554","002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graphic Design for Games","563","001","","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","002","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience for Design","","Course Total","","29","3.948","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Drawing II","612","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture Workshop 2","614","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","622","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","002","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Undergrad Painting Workshp","","Course Total","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics II","624","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","629","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio III","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Augmented Printmaking","636","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal II","644","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","079","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Intro to Grad Studies in Art","700","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
