"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","5","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","20","3.709","65.0","15.0","20.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","82","3.292","54.9","4.9","19.5","3.7","13.4","2.4","1.2",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","107","3.398","58.9","6.5","18.7","2.8","10.3","1.9","0.9",".","",".",".","",".",".","",".",".",".","."
"Graduate","76","3.708","36.8","11.8","9.2",".",".",".",".","9.2","",".",".","",".","32.9","",".",".",".","."
"Prof Yr 1","73","3.791","61.6","38.4",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","8","4.000","37.5",".",".",".",".",".",".","25.0","",".",".","",".","37.5","",".",".",".","."
"Prof Yr 4","5","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","86","3.803","60.5","33.7",".",".",".",".",".","2.3","",".",".","",".","3.5","",".",".",".","."
