"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Dept. Total
233
FINANCE","2780","3.375","31.9","22.7","20.0","6.6","3.1","1.1","0.6","0.1","",".","13.1","0.3","0.1","0.1",".","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"Freshmen","20","",".",".",".",".",".",".",".",".","",".","100.0",".",".",".",".",".","."
"Sophomore","250","2.993","4.0","6.8","19.6","7.6","1.6","0.4","0.4",".","",".","58.8","0.8",".",".",".",".","."
"Junior","781","3.291","26.0","22.3","21.3","9.1","3.3","1.7","0.5",".","",".","15.6","0.1",".","0.1",".",".","."
"Senior","1234","3.386","34.3","27.8","19.1","6.6","3.6","1.2","1.0","0.1","",".","5.8","0.4",".","0.1",".",".","."
"Undergraduates","2285","3.333","27.8","23.4","19.7","7.5","3.3","1.3","0.7","0.0","",".","15.8","0.4",".","0.1",".",".","."
"Special","56","3.260","21.4","19.6","35.7",".","8.9",".",".","1.8","",".","3.6",".",".",".",".","8.9","."
"Graduate","435","3.615","54.9","19.8","19.3","3.0","1.4","0.2","0.2","0.2","",".",".",".","0.7",".",".","0.2","."
"Prof Yr 2","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"Dept. Total","2780","3.375","31.9","22.7","20.0","6.6","3.1","1.1","0.6","0.1","",".","13.1","0.3","0.1","0.1",".","0.2","."
