"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Intro to Environmental Law","848
001","36","1.258","16.7","2.8","11.1",".","2.8",".",".","8.3",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","849
001","13","",".",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","7.7"
"","850
001","43","1.634","20.9",".","20.9",".","4.7",".",".","4.7",".",".",".",".",".",".",".","."
"","850
002","47","1.535","8.5",".","34.0",".","2.1",".",".","6.4",".",".",".",".",".",".","2.1","."
"Professnl Responsibilities","Course Total","90","1.583","14.4",".","27.8",".","3.3",".",".","5.6",".",".",".",".",".",".","1.1","."
"Trial Advocacy","852
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","853
001","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","853
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","853
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","853
004","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","853
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mock Trial","Course Total","42","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
001","14","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"","854
002","11","",".",".",".",".",".",".",".","81.8",".",".",".",".",".",".",".","18.2"
"","854
003","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
007","10","",".",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","20.0"
"","854
008","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
009","16","",".",".",".",".",".",".",".","81.3",".",".",".",".",".",".",".","18.8"
"","854
011","27","",".",".",".",".",".",".",".","92.6",".",".",".",".",".",".",".","7.4"
"","854
012","13","",".",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","7.7"
"","854
013","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
014","8","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","12.5"
"","854
015","6","",".",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","33.3"
"","854
016","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","152","",".",".",".",".",".",".",".","89.5",".",".",".",".",".",".",".","10.5"
"","855
001","48","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","855
002","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","855
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","855
006","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","855
008","24","",".",".",".",".",".",".",".","95.8","4.2",".",".",".",".",".",".","."
"Field Placement","Course Total","96","",".",".",".",".",".",".",".","99.0","1.0",".",".",".",".",".",".","."
"Advanced Criminal Procedure","860
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Legl Assist Incarcerated Ppl","862
001","14","",".",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","14.3"
"Immigration Law","873
001","20","1.105","15.0",".","15.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Wisconsin Internl Law Journ","895
001","73","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Journal of Law, Gender & Soc.","896
001","41","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","83","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"First Amendment","901
001","28","1.357","10.7",".","28.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
