"","990
091","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
099","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
100","5","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","62","",".",".",".",".",".",".",".","59.7","",".",".","",".","40.3",".",".",".","."
"192
MICROBIO","Dept. Total","1523","3.269","39.3","17.6","22.3","6.4","7.2","2.3","0.4","2.5","",".",".","",".","1.7","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.654","65.2","17.4","8.7",".","8.7",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","225","2.962","27.1","16.4","25.8","12.9","12.4","4.9","0.4",".","",".",".","",".",".",".",".",".","."
"Junior","","415","3.187","32.3","20.0","27.5","8.2","9.2","1.7","1.0",".","",".",".","",".",".","0.2",".",".","."
"Senior","","600","3.336","41.5","19.0","24.3","5.3","6.8","2.5","0.2",".","",".",".","",".","0.2","0.2",".",".","."
"Undergraduates","","1263","3.219","36.3","18.8","25.3","7.5","8.6","2.6","0.5",".","",".",".","",".","0.1","0.2",".",".","."
"Special","","17","3.583","29.4","35.3","17.6",".",".",".",".","5.9","",".",".","",".",".",".","5.9","5.9","."
"Graduate","","238","3.684","55.0","10.1","7.1","1.3","0.4","0.8",".","15.5","",".",".","",".","9.7",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".","100.0",".",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".","100.0",".",".",".","."
"Professionals","","5","***","","","","","","","","","","",".","",".","40.0",".",".",".","."
"","Dept. Total","1523","3.269","39.3","17.6","22.3","6.4","7.2","2.3","0.4","2.5","",".",".","",".","1.7","0.1","0.1","0.1","."
