"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Sports Communication","150","001","110","3.745","65.5","23.6","6.4","3.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"Mass Media in Multicultrl Amer","162","001","119","3.870","86.6","7.6","4.2",".",".","1.7",".",".",".",".",".",".",".",".",".","."
"","176","014","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176","016","63","3.836","74.6","7.9","6.3","3.2",".",".",".","7.9",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","","Course Total","83","3.872","79.5","7.2","4.8","2.4",".",".",".","6.0",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201","001","276","3.679","60.9","25.4","8.7","2.5","1.4","0.4","0.7",".",".",".",".",".",".",".",".","."
"Mass Communication Practices","202","001","118","3.703","40.7","59.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information for Communication","203","001","118","3.831","78.0","13.6","5.9","1.7","0.8",".",".",".",".",".",".",".",".",".",".","."
"Disability and the Media","312","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","335","001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","003","10","3.450","40.0","10.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles/Practices-Reporting","","Course Total","50","3.780","70.0","16.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","345","001","96","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Mrkting Communications","350","001","30","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Multimedia Design","411","001","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Magazine Publishing","417","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Video Journalism","425","001","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","445","002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","","Course Total","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Account Planning & Strategy","449","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Reporting and Writing","450","001","50","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Media Strategies","463","001","18","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","475","049","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","050","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of U.S. Media","560","001","111","3.664","62.2","18.0","13.5","1.8","2.7","0.9",".",".",".",".",".",".","0.9",".",".","."
"Mass Media & Racial Diversity","562","001","91","3.621","49.5","28.6","19.8","1.1","1.1",".",".",".",".",".",".",".",".",".",".","."
"Media and the Consumer","564","001","97","3.753","70.1","10.3","19.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601","001","87","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Digital Brand Building","605","001","39","3.615","48.7","30.8","15.4","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and Youth","616","001","18","3.611","50.0","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","617","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","617","002","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","","Course Total","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Comm & Political Behav","618","001","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Communication","620","001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
