"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Genetics in the News
133","001","","373","3.753","71.3","16.6","6.4","1.6","1.3","0.8","0.5",".",".",".",".",".",".",".","1.3","."
"155","001","","64","3.945","96.9","1.6",".",".",".","1.6",".",".",".",".",".",".",".",".",".","."
"155","002","","63","3.825","93.7",".",".",".","3.2","1.6","1.6",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Genetics","Course Total","","127","3.886","95.3","0.8",".",".","1.6","1.6","0.8",".",".",".",".",".",".",".",".","."
"Genomes and Society
234","001","","13","3.727","61.5","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".","15.4","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","127","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","144","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","154","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","155","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genomes in a Modern World
335","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
375","003","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Genetics
466","001","","166","3.357","45.2","12.7","24.1","7.2","7.2","1.8","0.6","1.2",".",".",".",".",".",".",".","."
"General Genetics 1
467","001","","104","3.168","21.2","26.9","30.8","12.5","5.8","2.9",".",".",".",".",".",".",".",".",".","."
"Neurogenetics
520","001","","58","3.702","55.2","29.3","12.1","1.7",".",".",".","1.7",".",".",".",".",".",".",".","."
"522","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"522","002","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","","21","3.879","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epigenetics
525","001","","36","3.929","86.1","8.3","2.8",".",".",".",".",".",".",".",".",".",".","2.8",".","."
"Dev Gen for Conserv Regen
527","001","","36","3.926","83.3","8.3","2.8",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Genetics Laboratory
545","002","","11","3.409","54.5","27.3","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Genomic Revolution
548","001","","21","3.225","47.6","4.8","23.8",".","14.3",".","4.8","4.8",".",".",".",".",".",".",".","."
"Human Genetics
565","001","","33","3.359","36.4","30.3","6.1","15.2","9.1",".",".","3.0",".",".",".",".",".",".",".","."
"Companion Research Seminar
567","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immunogenetics
588","001","","54","3.972","94.4","1.9","1.9",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"Prokaryotic Molecular Biol
612","001","","15","2.933","20.0","13.3","40.0","13.3","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Plant Genetics
631","001","","48","3.750","72.9","18.8","2.1","2.1","2.1","2.1",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics
677","001","","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","137","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","138","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
