"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","3203","3.671","35.5","5.3","5.1","0.7","1.1","0.1","0.0","51.6","0.0",".","",".","0.3","0.2",".",".","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.786","85.0",".","15.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","25","3.939","92.0","4.0","4.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","23","3.491","78.3",".","8.7","4.3","4.3",".","4.3",".",".",".","",".",".",".",".",".","."
"Senior","","103","3.609","69.9","7.8","14.6","2.9","1.9","1.9",".","1.0",".",".","",".",".",".",".",".","."
"Undergraduates","","171","3.658","76.0","5.3","12.3","2.3","1.8","1.2","0.6","0.6",".",".","",".",".",".",".",".","."
"Special","","29","3.471","13.8",".","3.4",".","3.4",".",".","79.3",".",".","",".",".",".",".",".","."
"Graduate","","86","3.788","32.6","2.3","3.5",".",".",".",".","50.0",".",".","",".","11.6",".",".",".","."
"Prof Yr 1","","508","",".",".",".",".",".",".",".","99.4","0.2",".","",".",".",".",".",".","0.4"
"Prof Yr 2","","796","3.806","66.7","12.8","5.3","1.0","0.8",".",".","13.4",".",".","",".",".",".",".",".","."
"Prof Yr 3","","779","3.459","25.4","7.4","12.2","1.3","3.2","0.1",".","50.3",".",".","",".",".",".",".",".","."
"Prof Yr 4","","930","3.993","26.3",".",".",".",".","0.1",".","72.8",".",".","",".",".","0.8",".",".","."
"Professionals","","3013","3.671","32.3","5.3","4.5","0.6","1.0","0.1",".","55.8","0.0",".","",".",".","0.2",".",".","0.1"
"","College Total","3299","3.671","34.4","5.2","4.9","0.7","1.1","0.1","0.0","53.0","0.0",".","",".","0.3","0.2",".",".","0.1"
