"MED","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Bioethics","729","101","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to Med Humanities","744","007","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Race,Science&Med:Past&Present","746","001","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Feminist Bioethics","747","010","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Migration and Global Health","750","010","","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","890","006","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","890","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Transplant Ethics","984","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced Independent Study","999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"452
MED HIST","","Dept. Total","","135","4.000","0.7",".",".",".",".",".",".","99.3",".",".",".",".",".",".",".","."
