"","990
075","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
077","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
083","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","36","",".",".",".",".",".",".","",".","80.6","",".",".","",".","19.4",".",".",".","."
"703
PATH-BIO","Dept. Total","1091","3.777","56.2","10.1","5.8","1.0","0.8","0.2","",".","25.1","",".",".","",".","0.6","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.786","85.0",".","15.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","24","3.936","91.7","4.2","4.2",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","13","3.786","84.6",".","15.4",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","79","3.566","70.9","6.3","13.9","3.8","2.5","2.5","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","136","3.683","77.9","4.4","12.5","2.2","1.5","1.5","",".",".","",".",".","",".",".",".",".",".","."
"Special","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","67","3.788","41.8","3.0","4.5",".",".",".","",".","40.3","",".",".","",".","10.4",".",".",".","."
"Prof Yr 1","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 2","","720","3.797","64.4","14.2","5.8","1.1","0.8",".","",".","13.6","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","97","",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","66","4.000","19.7",".",".",".",".",".","",".","77.3","",".",".","",".",".","3.0",".",".","."
"Professionals","","884","3.800","54.0","11.5","4.8","0.9","0.7",".","",".","27.9","",".",".","",".",".","0.2",".",".","."
"","Dept. Total","1091","3.777","56.2","10.1","5.8","1.0","0.8","0.2","",".","25.1","",".",".","",".","0.6","0.2",".",".","."
