"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","15","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","16","3.719","75.0","6.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
006","15","3.533","66.7","13.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
008","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
010","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","15","3.567","66.7","20.0",".",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","100
012","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
014","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
016","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","15","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
020","16","3.625","68.8","18.8",".","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
021","15","3.667","80.0","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","100
022","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","16","3.625","56.3","25.0","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
024","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","246","3.780","77.2","13.8","4.5","1.6","1.2","0.8","0.8",".",".",".",".",".",".",".",".","."
"Sci Comm First-Year Seminar","155
001","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
006","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","116","3.905","84.5","12.1","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","37","3.784","67.6","24.3","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Science, Media and Society","251
001","245","3.598","65.3","15.1","7.8","4.9","3.7","2.9","0.4",".",".",".",".",".",".",".",".","."
"Marketing Comm for Sciences","270
001","71","3.754","64.8","26.8","7.0",".",".","1.4",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","26","3.788","92.3",".",".","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"","332
001","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital & Print Media Design","Course Total","41","3.829","73.2","19.5","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","52","3.856","80.8","13.5","1.9","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Science Podcasting & Radio","360
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Media for Sciences","432
001","89","3.506","40.4","39.3","14.6","1.1","1.1","2.2","1.1",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","44","3.919","84.1","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".","2.3","."
"Web Design for the Sciences","532
001","25","3.680","68.0","24.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"","560
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","560
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Writing","Course Total","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
