"STATISTICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","",""
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","118","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","124","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","165","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","192","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","195","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","200","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","205","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","210","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","215","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","227","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","242","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","261","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","263","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","268","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","270","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","59","",".",".",".",".",".",".",".","94.9",".",".",".","5.1",".",".",".","."
"992","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"992","003","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"992","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"992","007","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","008","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","49","3.956","91.8","8.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Statistical Consulting
998","001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
