"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Race and Representation in Art","104","001","281","3.850","82.9","10.0","2.8","2.8","0.7",".","0.4",".",".",".",".",".","0.4",".",".","."
"","202","001","332","3.835","59.6","4.2","3.0","0.6","0.9",".","0.9","30.7",".",".",".",".",".",".",".","."
"","202","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Western Art II","","Course Total","333","3.835","59.8","4.2","3.0","0.6","0.9",".","0.9","30.6",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","16","3.500","31.3",".","6.3","12.5",".",".",".","50.0",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","29","3.914","93.1","3.4",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Art&Archaeology-Ancient Greece","300","001","27","3.476","40.7","14.8","7.4","7.4","7.4",".",".","22.2",".",".",".",".",".",".",".","."
"","303","001","37","2.750","2.7","18.9","10.8","24.3",".","8.1",".","35.1",".",".",".",".",".",".",".","."
"","303","003","83","3.851","36.1","3.6","4.8",".",".",".",".","55.4",".",".",".",".",".",".",".","."
"Topics in Art History","","Course Total","120","3.418","25.8","8.3","6.7","7.5",".","2.5",".","49.2",".",".",".",".",".",".",".","."
"Later Chinese Art","308","001","21","3.405","47.6","23.8","9.5","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Brit Art & Soc,18 c-Present","346","001","33","3.920","66.7","6.1","3.0",".",".",".",".","21.2",".",".",".",".",".","3.0",".","."
"Cities of Asia","379","001","16","3.500","18.8","43.8","18.8",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","17","3.464","41.2","11.8","17.6","5.9","5.9",".",".","5.9",".",".",".",".","11.8",".",".","."
"Caliphal Art and Architecture","413","001","26","3.694","38.5","19.2","11.5",".",".",".",".","26.9",".",".",".",".","3.8",".",".","."
"Topics in Visual Culture","430","001","90","3.799","75.6","16.7","1.1",".",".","3.3",".","2.2",".",".",".",".","1.1",".",".","."
"Hist-Am Vernclr Archtr&Landscp","457","001","46","3.788","47.8","6.5",".",".",".",".","2.2","43.5",".",".",".",".",".",".",".","."
"The Art of Our Time","481","001","41","3.826","39.0","14.6","2.4",".",".",".",".","43.9",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","6","3.600","33.3","33.3","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Proseminar in Japanese Art","575","001","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Art History","701","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in American Art History","706","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in 19th Cent. Art","707","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Japanese Art History","775","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","776","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","776","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Chinese Art History","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","779","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","779","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tpcs: Arch. & Urbanism of Asia","","Course Total","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curatorial Studies Internship","797","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
