"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","562
002","59","3.398","23.7","50.8","15.3","8.5",".",".","1.7",".",".",".",".",".",".",".",".","."
"The Global Consumer","Course Total","118","3.415","22.9","50.8","16.9","8.5",".",".","0.8",".",".",".",".",".",".",".",".","."
"","564
001","60","3.292","31.7","31.7","15.0","13.3","6.7",".","1.7",".",".",".",".",".",".",".",".","."
"","564
002","60","3.483","40.0","30.0","21.7","3.3","5.0",".",".",".",".",".",".",".",".",".",".","."
"","564
003","58","2.914","20.7","24.1","19.0","17.2","6.9","10.3","1.7",".",".",".",".",".",".",".",".","."
"Retail Financial Analysis","Course Total","178","3.233","30.9","28.7","18.5","11.2","6.2","3.4","1.1",".",".",".",".",".",".",".",".","."
"","567
001","44","3.125","13.6","31.8","34.1","11.4","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"","567
002","59","3.831","79.7","15.3","1.7","1.7",".","1.7",".",".",".",".",".",".",".",".",".","."
"Product Development Strategies","Course Total","103","3.529","51.5","22.3","15.5","5.8","2.9","1.9",".",".",".",".",".",".",".",".",".","."
"","627
001","50","3.660","52.0","34.0","10.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","627
002","49","3.531","46.9","34.7","6.1","6.1","4.1","2.0",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Finance","Course Total","99","3.596","49.5","34.3","8.1","4.0","3.0","1.0",".",".",".",".",".",".",".",".",".","."
"","657
001","66","3.826","78.8","13.6","3.0","3.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"","657
002","65","3.831","73.8","20.0","4.6","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","657
004","94","3.745","60.6","29.8","8.5",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"","657
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","226","3.790","69.5","22.1","6.2","1.3","0.9",".",".",".",".",".",".",".",".",".",".","."
"","665
002","87","3.874","77.0","20.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","665
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Household Risk Management","Course Total","89","3.876","77.5","20.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
101","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Financial Counseling","Course Total","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Organization of Household","748
001","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Cnsr Research Methods","768
001","10","3.350","40.0","10.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Measuring Hshld Comm WellBeing","851
001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Consumer Policy","852
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsr Sci Graduate Workshop","920
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
