"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"SURG SCI","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","8","3.313","12.5","37.5","50.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","12","2.917","16.7","25.0","33.3","8.3","8.3","",".","","8.3",".","",".",".","",".","",".","",".",".",".","."
"Special","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 2","46","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","384","3.514","28.6","7.8","10.9","1.0","1.6","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","334","4.000","41.6",".",".",".",".","",".","",".","58.4","",".",".","",".","",".","",".",".",".","."
"Professionals","764","3.677","38.6","3.9","5.5","0.5","0.8","",".","",".","50.7","",".",".","",".","",".","",".",".",".","."
