"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","194","3.817","74.2","19.6","3.1","2.6",".","0.5",".",".",".",".",".",".",".",".",".","."
"","306
002","51","3.902","94.1",".","3.9",".",".","2.0",".",".",".",".",".",".",".",".",".","."
"","306
003","51","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
004","43","3.802","72.1","18.6","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","306
005","44","3.830","75.0","15.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
006","29","3.914","86.2","10.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
007","49","3.939","93.9",".","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","461","3.856","80.7","12.8","4.8","1.3",".","0.4",".",".",".",".",".",".",".",".",".","."
"","365
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","10","3.833","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
002","34","3.162","35.3","17.6","8.8","20.6","17.6",".",".",".",".",".",".",".",".",".",".","."
"","410
003","55","3.269","30.9","21.8","30.9","5.5","5.5","3.6",".","1.8",".",".",".",".",".",".",".","."
"","410
004","41","3.122","17.1","36.6","22.0","12.2","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","130","3.194","27.7","25.4","22.3","11.5","9.2","3.1",".","0.8",".",".",".",".",".",".",".","."
"","411
001","80","3.481","37.5","36.3","21.3",".","3.8",".","1.3",".",".",".",".",".",".",".",".","."
"","411
002","75","3.420","34.7","30.7","22.7","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Excel Modeling","Course Total","155","3.452","36.1","33.5","21.9","3.9","3.9",".","0.6",".",".",".",".",".",".",".",".","."
"","412
001","30","3.650","56.7","20.0","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","412
002","69","3.210","13.0","29.0","46.4","10.1","1.4",".",".",".",".",".",".",".",".",".",".","."
"","412
003","19","3.447","68.4","15.8","5.3",".",".",".","10.5",".",".",".",".",".",".",".",".","."
"","412
004","44","3.523","34.1","38.6","25.0","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","Course Total","162","3.404","33.3","28.4","30.9","5.6","0.6",".","1.2",".",".",".",".",".",".",".",".","."
"","415
001","46","3.446","28.3","39.1","28.3","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","415
002","37","3.500","35.1","29.7","35.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
003","41","3.463","29.3","51.2","4.9","12.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"","415
004","26","3.404","34.6","19.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","150","3.457","31.3","36.7","25.3","5.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"","420
001","19","3.289","15.8","36.8","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","41","3.683","46.3","46.3","4.9","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","420
003","27","3.574","40.7","37.0","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","420
004","39","3.538","35.9","46.2","10.3","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","126","3.556","37.3","42.9","14.3","4.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"","425
001","40","3.613","45.0","40.0","10.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","425
002","40","3.788","65.0","27.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
003","40","3.813","72.5","22.5","2.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","120","3.738","60.8","30.0","6.7","0.8","1.7",".",".",".",".",".",".",".",".",".",".","."
"","530
001","15","3.233","46.7","13.3","13.3","20.0",".",".","6.7",".",".",".",".",".",".",".",".","."
"","530
002","19","3.316","26.3","31.6","36.8",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","530
003","16","3.406","25.0","37.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Real Est Investment Analysis","Course Total","50","3.320","32.0","28.0","28.0","8.0",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"Real Estate Capital Markets","640
001","27","3.815","66.7","29.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 67 of 481",""
