"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"890","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","39","",".",".",".",".",".",".",".","89.7",".",".",".","10.3",".",".",".","."
"961","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Smr-Industrial Engr","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
