"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MARKETNG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","337","3.134","14.2","38.9","24.6","14.2","4.2","2.7","1.2",".","",".",".","",".","",".","",".",".",".","."
"Junior","664","3.334","30.3","35.4","20.2","8.0","2.7","2.7","0.8",".","",".",".","",".","",".","",".",".",".","."
"Senior","765","3.489","38.4","36.1","17.1","5.0","2.2","0.8","0.4",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","1767","3.363","30.7","36.3","19.8","7.9","2.8","1.9","0.7",".","",".",".","",".","",".","",".",".",".","."
"Special","60","2.968","16.7","30.0","26.7","8.3","8.3","3.3","5.0",".","",".",".","",".","",".","",".",".","1.7","."
"Graduate","367","3.735","61.6","23.4","13.1",".",".",".",".","1.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","4","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","4","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
