"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","17","3.794","70.6","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","10","3.600","70.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","101
005","16","3.250","31.3","25.0","18.8","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"First Semester German","Course Total","59","3.627","61.0","20.3","6.8","6.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"","102
001","14","3.286","35.7","21.4","7.1","35.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","13","2.846","23.1","23.1","15.4","7.7","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","27","3.074","29.6","22.2","11.1","22.2","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"First Semester Dutch","111
001","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","203
001","16","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
002","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","12","3.750","75.0","16.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","53","3.783","73.6","15.1","7.5","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","204
001","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Dutch","213
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","249
001","17","3.794","82.4",".","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","249
002","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed German-Speak & Listen","Course Total","33","3.788","72.7","15.2","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to German Cinema","253
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
001","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","258
002","17","3.206","41.2","23.5","17.6","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".","."
"Intermediate German-Reading","Course Total","25","3.340","48.0","16.0","24.0","4.0",".","4.0","4.0",".",".",".",".",".",".",".",".","."
"","262
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate German-Writing","Course Total","26","3.942","96.2",".",".","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","70","3.779","68.6","24.3","2.9","2.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"","267
002","20","3.825","80.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","71","3.979","97.2","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Song and Jewish Exp","Course Total","186","3.879","83.3","11.3","3.8","1.1","0.5",".",".",".",".",".",".",".",".",".",".","."
"Yiddish Lit & Culture, Europe","269
001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"God & Money","273
001","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","276
001","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","276
002","29","3.466","34.5","34.5","24.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Spec Tops in Ger & World Lit/s","Course Total","35","3.500","42.9","28.6","20.0","2.9","5.7",".",".",".",".",".",".",".",".",".",".","."
"German Fairytales (Re)imagined","280
001","67","3.902","83.6","11.9","1.5","1.5",".",".",".",".",".",".",".",".","1.5",".",".","."
"1st Sem Dutch-Grad Stdts","311
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"3rd Sem Dutch-Grad Stdts","313
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","Page 260 of 481",""
