"Summary by Level","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","13","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","24","4.000","83.3","",".","",".","",".","",".","",".","",".",".","",".",".","",".","16.7","",".",".",".","."
"Undergraduates","","40","4.000","90.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","10.0","",".",".",".","."
"Graduate","","9","4.000","66.7","",".","",".","",".","",".","",".","",".","33.3","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 4","","30","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","31","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
