"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","225","2.692","18.2","12.0","20.9","12.0","24.0","8.9","2.2","0.9","0.9",".",".",".",".",".",".","."
"","101
002","199","2.685","20.6","10.6","20.6","14.6","19.6","9.0","4.0","0.5",".",".",".",".",".","0.5",".","."
"Animal Biology","Course Total","424","2.689","19.3","11.3","20.8","13.2","21.9","9.0","3.1","0.7","0.5",".",".",".",".","0.2",".","."
"","102
001","17","3.029","5.9","41.2","17.6","23.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"","102
002","18","3.222","38.9","22.2","5.6","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","102
003","15","3.033","20.0","33.3","13.3","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","102
004","11","3.091","18.2","27.3","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
005","15","3.267","33.3","26.7","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","102
006","15","3.067","26.7","26.7","6.7","13.3","26.7",".",".",".",".",".",".",".",".",".",".","."
"","102
007","11","3.182","18.2","36.4","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
008","16","3.563","50.0","25.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","102
009","16","2.531","12.5","12.5","25.0","6.3","25.0","18.8",".",".",".",".",".",".",".",".",".","."
"","102
010","13","2.885","15.4",".","46.2","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","102
011","14","3.321","28.6","35.7","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
012","11","2.955","9.1","18.2","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
013","16","3.000","18.8","25.0","25.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","102
014","12","3.250","33.3","25.0","16.7","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","200","3.100","24.0","25.5","20.0","13.5","14.0","3.0",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","25","3.420","52.0","8.0","28.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","151
001","384","2.967","24.2","9.1","37.0","7.3","15.9","6.3",".",".",".",".",".",".","0.3",".",".","."
"","151
002","386","2.885","19.2","7.8","43.0","8.5","13.7","6.7","1.0",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","770","2.926","21.7","8.4","40.0","7.9","14.8","6.5","0.5",".",".",".",".",".","0.1",".",".","."
"Introductory Biology","152
001","467","3.371","44.1","10.9","32.1","4.1","6.6","1.9",".",".",".",".",".",".","0.2",".",".","."
"","522
001","8","3.688","75.0","12.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","522
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","13","3.645","76.9","7.7",".",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","681
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Senior Thesis","691
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
