"BIOSTATISTICS & MED INFORM Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"541","001","","46","3.867","87.0",".","8.7",".","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"541","002","","36","3.903","86.1","8.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostatistics","Course Total","","82","3.883","86.6","3.7","7.3",".","1.2",".",".","1.2",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth
551","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Bioinformatics
576","001","","17","3.188","35.3","11.8","23.5",".","23.5",".",".","5.9",".",".",".",".",".",".",".","."
"Math Mthds for Systems Biology
609","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials
641","001","","11","3.550","27.3","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Adv Regression Mthds-Pop Hlth
651","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Longitudinal Data Analysis
727","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lrning Based Mthds for Com Vis
771","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computational Network  Biology
775","001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Becoming a Biomedical Data Sci
800","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed DataSci Scholarly Lit 1
881","001","","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed Data Sci Prof Skills 1
883","001","","6","3.333","50.0","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Biomed Data Sci Prof Skills 2
884","001","","6","3.333","50.0","16.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"899","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"899","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 13, 2026","","","","","","","","","","","","","","","","","","","Page 386 of 481",""
