"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","18","3.594","55.6","11.1","11.1","5.6","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"","101
003","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","23","3.804","73.9","21.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","82","3.763","69.5","15.9","8.5","1.2","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"","103
001","16","3.531","50.0","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","103
002","21","3.675","76.2","4.8","9.5",".",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"","103
003","15","3.133","33.3","26.7","6.7","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".","."
"","103
004","21","3.167","23.8","28.6","28.6","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","103
005","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
006","20","3.250","60.0","5.0","10.0","5.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"First Semester Japanese","Course Total","113","3.433","52.2","18.6","13.3","5.3","5.3","2.7","1.8","0.9",".",".",".",".",".",".",".","."
"","105
001","14","3.607","64.3","7.1","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","105
002","19","3.368","57.9","5.3","15.8","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","105
003","18","3.667","66.7","5.6","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Korean","Course Total","51","3.539","62.7","5.9","19.6","3.9","5.9","2.0",".",".",".",".",".",".",".",".",".","."
"2nd Sem Elementary Japanese","114
001","10","3.800","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"First Semester Asian Language","121
001","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","123
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","123
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","123
003","7","3.571","71.4",".","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Filipino","Course Total","23","3.870","91.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hmong","125
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","127
001","9","2.611","22.2",".","11.1","11.1","55.6",".",".",".",".",".",".",".",".",".",".","."
"","127
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Indonesian","Course Total","10","2.750","30.0",".","10.0","10.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"","129
001","6","3.083","50.0","16.7",".",".","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"","129
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","129
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","Course Total","12","2.833","25.0","16.7","33.3",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"First Semester Vietnamese","131
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","135
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","137
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","137
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Persian","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","18","3.694","61.1","27.8","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","201
004","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","49","3.735","65.3","22.4","8.2","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.765","76.5","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
003","19","3.447","42.1","15.8","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
